;SoC;Charge;Discharge;Energy prices;Cash flow
502;0.0;0.0;0.0;0.20756;0.0
503;0.0;0.0;11.5;0.20829;2.395335
504;0.0;0.0;0.0;0.1983;0.0
505;0.0;0.0;0.0;0.18919999999999998;0.0
506;0.0;0.0;0.0;0.18721000000000002;0.0
507;0.0;0.0;0.0;0.17872;0.0
508;0.0;11.5;0.0;0.17604;-2.02446
509;10.925;2.71052631578947;0.0;0.17635;-0.478001315789473
510;13.5;0.0;0.0;0.18735;0.0
511;13.5;0.0;0.0;0.19691;0.0
512;13.5;0.0;0.0;0.21;0.0
513;13.5;0.0;1.325;0.21538;0.2853785
514;12.1052631578947;0.0;11.5;0.2176;2.5023999999999997
515;0.0;0.0;0.0;0.20965999999999999;0.0
516;0.0;0.0;0.0;0.20172;0.0
517;0.0;2.71052631578947;0.0;0.19105;-0.5178460526315782
518;2.575;11.5;0.0;0.18999000000000002;-2.1848850000000004
519;13.5;0.0;0.0;0.1965;0.0
520;13.5;0.0;0.0;0.19652;0.0
521;13.5;0.0;0.0;0.22231;0.0
522;13.5;0.0;1.325;0.24;0.318
523;12.1052631578947;0.0;11.5;0.24527000000000002;2.820605
524;0.0;0.0;0.0;0.22775;0.0
525;0.0;0.0;0.0;0.21187999999999999;0.0
526;0.0;0.0;0.0;0.203;0.0
527;0.0;0.0;11.5;0.197;2.2655000000000003
528;0.0;0.0;0.0;0.19713999999999998;0.0
529;0.0;0.0;0.0;0.19;0.0
530;0.0;0.0;0.0;0.18797999999999998;0.0
531;0.0;0.0;0.0;0.17973;0.0
532;0.0;11.5;0.0;0.17904;-2.05896
533;10.925;2.71052631578947;0.0;0.17949;-0.486512368421052
534;13.5;0.0;0.0;0.17993;0.0
535;13.5;0.0;0.0;0.18999000000000002;0.0
536;13.5;0.0;0.0;0.19;0.0
537;13.5;0.0;0.0;0.19531;0.0
538;13.5;0.0;0.0;0.19534;0.0
539;13.5;0.0;0.0;0.19587000000000002;0.0
540;13.5;0.0;0.0;0.19541;0.0
